W,M
pave,"v. (길을) 포장하다"
fade,"v. 시들다, (빛깔, 소리 등이) 희미해지다"
vigor,"n. 활기, 정력"
scan,"v. 자세히 살피다, 훑어보다, 정밀 검사"
dizzy,"a. 어지러운, 현기증 나는"
pupil,"n. 1. 학생, 제자 2. 눈동자, 동공"
soothe,"v. 달래다, 진정시키다"
budget,"n. 예산, 예산을 세우다"
strife,"n. 싸움, 투쟁"
strive,"v. 분투하다, 노력하다"
wreck,"n. 난파선, 파괴된 차, 파괴하다"
label,"n. 상표, 라벨; 꼬리표를 달다"
crawl,"v. 기어가다, 기어가기"
elastic,"a. 탄력 있는, 신축성 있는, 고무로 된"
flour,"n. 밀가루"
glow,"n. 불빛; 빛나다"
cargo,"n. 화물"
discreet,"a. 신중한, 조심스런"
discrete,"a. 분리된, 별개의"
discretion,"n. 1. 자유재량 2. 신중함"
costume,"n. 의상, 복장"
absently,"ad. 멍하니, 무심코"
curse,"v. 욕설을 퍼붓다, 저주하다 ; 저주, 욕설"
torch,"n. 횃불"
chore,"n. (가정의) 허드렛일, 잡일"
booth,"n. (칸막이를 한) 작은 공간, 부스, 매점"
adversity,"n. 역경, 고난"
durable,"a. 오래가는, 내구력이 있는"
dense,"a. 밀집한, 빽빽한"
condense,"v. 압축하다, 응축시키다, 요약하다"
stumble,"v. 걸려 넘어지다, 비틀거리다"
chant,"n. 노래, 성가, 슬로건; (노래․성가를) 부르다, 슬로건을 외치다"
drain,"v. 배수하다; 배수로, 배수관"
feast,"n. 축제, 향연"
scheme,"n. 계획, 책략"
stalk,"v. 1. 살그머니 접근하다 2. 줄기"
barbaric,"a. 야만의, 미개한"
glance,"v. 흘긋 보다; 흘긋 봄"
seal,"n. 바다표범"
seal,"v. 봉하다, 밀봉하다"
fatigue,"n. 피로, 지치게 하다"
prone,"a. ~하기 쉬운, ~하는 경향이 있는"
lyric,"n. 서정시, 노래가사"
collision,"n. 충돌"
priest,"n. 성직자"
leisurely,"a. 한가로운, 느긋하게"
stout,"a. 뚱뚱한, 튼튼한"
thorn,"n. (식물의) 가시"
initial,"a. 1. 처음의, 최초의 2. 머리글자"
initiate,"v. 시작하다, 착수하다"
souvenir,"n. 기념품"
plural,"n. 복수, 복수형(약어로 pl.)"
pest,"n. 해충"
sword,"n. (긴) 칼, 검"
ointment,"n. 연고"
dock,"n. 부두, 선착장"
starvation,"n. 굶주림, 기아"
backfire,"v. 역효과를 낳다"
coordinate,"n. 좌표"
coordinate,"v. 조화시키다, 조정하다"
hatch,"v. 부화하다"
reservoir,"n. 저수지"
adolescence,"n. 청소년기, 사춘기"
cling,"v. 매달리다, 달라붙다, 고수하다"
broom,"n. 빗자루"
throne,"n. 왕위, 왕좌"
gloomy,"a. 음울한, 우울한"
commodity,"n. 상품, 물품"
pit,"n. 구멍, 구덩이"
pitfall,"n. 함정, 위험"
errand,"n. 심부름"
assassination,"n. 암살"
ordeal,"n. 시련"
curator,"n. 감독, 관리자, 큐레이터(박물관, 미술관 등의 전시 책임자)"
refuge,"n. 피난처, 피신"
applaud,"v. 박수갈채를 보내다"
wicked,"a. 못된, 사악한"
treaty,"n. 조약, 협정"
bulb,"n. 전구"
skeptical,"a. 의심 많은, 회의적인"
canal,"n. 운하, 수로"
belly,"n. 배, 복부"
closet,"n. 벽장"
embrace,"v. 포옹하다, 포용하다, 포옹"
monitor,"n. 1. 모니터 2. 감시하다, 관찰하다"
swoop,"v. 급강하하다, 급습하다"
cohesion,"n. 결합, 화합"
murmur,"v. 속삭이다, 중얼거리다, 속삭임, 중얼거림"
quarters,"n. 거처, 숙소"
headquarters,"n. 본부, 본사"
sprout,"v. 싹트다, 생기다, 싹"
buildup,"n. 증강, 강화, 발전"
sprint,"v. (단거리를) 전력질주하다, 단거리 경기"
dye,"n. 염료, 염색하다"
roar,"v. 함성을 지르다, 으르렁거리다, 함성, 으르렁 소리"
buddy,"n. 여보게, 친구"
remedy,"n. 1. 치료 2. 해결 책"
shepherd,"n. 양치기"
maid,"n. 하녀, 가정부"
maiden,"n. 1. 소녀, 처녀 2. 처녀-, 최초의"
convict,"n. 죄인, 유죄를 선고하다"
woe,"n. 비통, 불행"
diagnose,"v. 진단하다"
shrug,"v. 어깨를 으쓱하다"
cunning,"a. 교활한"
meteor,"n. 유성, 별똥별, 운석"
stir,"v. 1. 휘젓다, (마음을) 휘젓다, 동요하다, 동요 2. 유발하다"
doctrine,"n. 정책, 주의, (종교의) 교리"
apprehend,"v. 이해하다"
apprehend,"v. 1. 체포하다 2. 염려하다"
synthetic,"a. 합성한. 인조의"
crust,"n. 빵 껍질, 껍질, 표면"
striking,"a. 눈에 띄는, 두드러진"
rod,"n. 막대, 지팡이"
execute,"v. (직무 등을) 실행하다"
execute,"v. 처형하다"
triumph,"n. 승리, 대성공"
smear,"v. (기름 등을) 바르다"
smear,"v. 1. 더럽히다, 얼룩 2. 중상모략"
smudge,"n. 자국, 얼룩, 번지다, 번지게 하다"
