W,M
pot,"n. 통, 병, 냄비"
sculpture,"n. 조각, 조각품"
ethnic,"a. 민족의"
sweep,"v. 쓸다, 휩쓸다"
sweeping,"a. 광범위한, 전면적인"
contrary,"a. 반대의; 정반대"
beverage,"n. 음료, 마실 것"
industry,"n. 1. 산업 2. 근면"
edge,"n. 모서리, 가장자리"
dramatic,"a. 극적인, 연극의"
observe,"v. 1. 관찰하다 2. (규칙 등을) 준수하다"
immediate,"a. 즉시의, 당장의"
board,"n. 1. 판자, 게시판 2. (차․배․비행기 등을) 타다"
board,"n. 위원회"
aboard,"a. (배, 비행기 등에) 타고, 탑승하여"
loosen,"v. 풀다, 느슨하게 하다"
clue,"n. 실마리, 단서"
greet,"v. 인사하다, 환영하다"
greed,"n. 탐욕, 욕심"
organ,"n. 1. (생물의) 기관, 장기 2. 오르간(악기)"
organic,"a. 1. 유기농의, 화학비료를 쓰지 않은 2. (인체) 장기의"
meal,"n. 식사, 끼니"
ordinary,"a. 보통의, 평범한"
edit,"v. 편집하다, 수정하다"
extraordinary,"a. 보통이 아닌, 보기 드문"
associate,"v. 교제하다, 관련시키다, 연합시키다"
merely,"ad. 단지, 그저"
fume,"n. 연기, 증기; 연기가 나다"
participate,"v. 참여하다, 참가하다"
float,"v. (물위나 공중에) 뜨다, 띄우다"
conduct,"v. 1. ~을 하다, 행동하다 2. 지도하다, 지휘하다 3. (열, 전기 등을) 전도하다, 행동, 지도"
deceive,"v. 속이다"
authority,"n. 권한, 권력, (권력) 기관"
consider,"v. 숙고하다, 고려하다"
considerable,"a. 중요한, 상당한"
ethics,"n. 윤리학, 윤리"
scenery,"n. 풍경, 경치"
scent,"n. 냄새, 향기"
resemblance,"n. 닮음, 유사"
nervous,"a. 불안해하는, 신경과민의, 신경의"
nerve,"n. 1. 신경 2. 배짱, 용기, 뻔뻔함"
permanent,"a. 영구적인"
suck,"v. 빨아들이다, 빨다"
fair,"n. 전시회, 박람회"
fair,"a. 공평한, 공정한"
settle,"v. 1. 정착하다 2. 해결하다 3. (마음을) 진정시키다"
flame,"n. 불꽃, 화염; 타오르다"
neat,"a. 산뜻한, 깔끔한"
arms,"n. 무기, 병기"
grief,"n. 슬픔, 비탄"
absorbing,"a. 마음을 빼앗는, 몰입하게 만드는"
imminent,"a. 임박한"
sake,"n. 이익, 목적"
behalf,"n. 이익"
for the sake of,"prep. ~을 위해서"
on behalf of,"prep. ~을 위하여, ~을 대표하여"
